ID,Name,League,League Id,Overall,Attack,Midfield,Defense,Transfer Budget,Domestic Prestige,Int Prestige,Players,Starting Average Age,All Team Average Age
1943,AFC Bournemouth,English Premier League (1),13,74,75,73,73,0,2,1,28,25.8,25.5
116418,AFC Richmond,English Premier League (1),13,78,81,79,77,0,5,3,19,27.3,27.3
1,Arsenal,English Premier League (1),13,80,83,81,79,0,7,7,29,24.1,23.0
2,Aston Villa,English Premier League (1),13,79,79,78,80,0,5,3,32,25.8,25.2
1925,Brentford,English Premier League (1),13,75,75,74,75,0,1,1,30,25.4,24.2
1808,Brighton & Hove Albion,English Premier League (1),13,76,76,75,77,0,3,2,31,27.6,23.6
5,Chelsea,English Premier League (1),13,84,84,86,84,0,9,8,31,28.1,24.8
1799,Crystal Palace,English Premier League (1),13,76,77,75,76,0,4,2,29,26.6,25.2
7,Everton,English Premier League (1),13,78,80,77,75,0,4,4,31,24.7,26.5
144,Fulham,English Premier League (1),13,76,78,76,74,0,2,1,28,27.6,26.0
8,Leeds United,English Premier League (1),13,76,78,76,76,0,3,2,28,24.2,24.3
95,Leicester City,English Premier League (1),13,79,81,80,78,0,6,6,32,26.7,25.7
9,Liverpool,English Premier League (1),13,85,84,82,87,0,9,9,30,26.9,25.7
10,Manchester City,English Premier League (1),13,85,86,86,86,0,10,10,27,27.2,25.4
11,Manchester United,English Premier League (1),13,82,85,83,80,0,8,8,33,25.4,25.2
13,Newcastle United,English Premier League (1),13,78,78,76,79,0,5,3,33,26.6,25.9
14,Nottingham Forest,English Premier League (1),13,76,75,76,74,0,1,1,33,24.7,25.9
17,Southampton,English Premier League (1),13,75,76,74,75,0,4,3,27,23.6,23.8
18,Tottenham Hotspur,English Premier League (1),13,81,84,81,79,0,8,7,29,26.4,25.0
19,West Ham United,English Premier League (1),13,80,79,80,78,0,6,5,29,28.1,26.0
110,Wolverhampton Wanderers,English Premier League (1),13,79,79,81,77,0,5,4,33,25.9,23.6
614,AC Ajaccio,French Ligue 1 (1),16,70,71,70,70,0,1,1,28,29.1,28.1
57,AJ Auxerre,French Ligue 1 (1),16,71,73,71,68,0,1,1,30,28.4,26.7
69,AS Monaco,French Ligue 1 (1),16,77,79,77,77,0,8,6,27,24.4,23.6
1530,Angers SCO,French Ligue 1 (1),16,72,73,72,71,0,3,1,31,25.8,24.5
1815,Clermont Foot 63,French Ligue 1 (1),16,70,69,70,69,0,2,1,27,27.7,25.5
294,ESTAC Troyes,French Ligue 1 (1),16,72,73,73,69,0,2,1,31,25.8,24.3
217,FC Lorient,French Ligue 1 (1),16,71,68,72,70,0,2,1,27,25.4,23.6
71,FC Nantes,French Ligue 1 (1),16,74,75,75,73,0,5,2,28,26.8,25.2
65,LOSC Lille,French Ligue 1 (1),16,75,77,75,75,0,6,4,23,27.6,25.3
70,Montpellier Hérault SC,French Ligue 1 (1),16,75,74,76,73,0,4,2,28,24.4,24.6
72,OGC Nice,French Ligue 1 (1),16,77,80,76,76,0,6,3,27,27.4,24.9
66,Olympique Lyonnais,French Ligue 1 (1),16,78,78,79,76,0,8,6,31,25.6,23.8
219,Olympique de Marseille,French Ligue 1 (1),16,78,79,77,77,0,8,6,33,28.0,23.4
73,Paris Saint-Germain,French Ligue 1 (1),16,85,88,82,83,0,10,9,26,27.2,25.8
76,RC Strasbourg Alsace,French Ligue 1 (1),16,75,77,75,74,0,5,2,24,28.4,26.5
64,Racing Club de Lens,French Ligue 1 (1),16,75,74,75,74,0,5,2,25,25.6,25.7
378,Stade Brestois 29,French Ligue 1 (1),16,73,74,74,72,0,3,1,25,27.1,25.0
